experiment_id,trial_id,case_id,composition,homogeneous_type,player_id,person_id,age,gender,mbti,initial_role,final_role,speech_count,pass_count,skip_count,total_chars,avg_chars,pre_suspect,pre_confidence,final_suspect,final_confidence,planned_vote,actual_vote,abstained,suspect_changed,confidence_delta,pre_correct,final_correct,vote_correct,plan_vote_match,executed,win,decided_from_unknown,suspect_vote_match,corrected,deteriorated
e-20260830-010451,e-20260830-010451-t004,e-20260830-010451-t004-c00,mixed,,p1,pe056,49,male,ENFJ,villager,villager,1,4,0,99,99.0,unknown,1,,,,p2,false,,,,,0,,0,0,0,,,
e-20260830-010451,e-20260830-010451-t004,e-20260830-010451-t004-c00,mixed,,p2,pe062,20,male,ISFJ,villager,villager,0,5,0,0,,unknown,1,p3,4,p3,p1,false,,3,,1,0,0,0,0,1,0,,
e-20260830-010451,e-20260830-010451-t004,e-20260830-010451-t004-c00,mixed,,p3,pe085,64,female,ISFJ,werewolf,werewolf,3,1,0,373,124.3333,unknown,2,,,,p8,false,,,,,0,,0,1,0,,,
e-20260830-010451,e-20260830-010451-t004,e-20260830-010451-t004-c00,mixed,,p4,pe046,64,female,ESTP,werewolf,werewolf,2,2,0,175,87.5,unknown,2,p5,4,p5,p8,false,,2,,0,0,0,0,1,1,0,,
e-20260830-010451,e-20260830-010451-t004,e-20260830-010451-t004-c00,mixed,,p5,pe039,27,male,ISTP,seer,seer,2,2,0,352,176.0,unknown,3,,,,p8,false,,,,,0,,0,0,0,,,
e-20260830-010451,e-20260830-010451-t004,e-20260830-010451-t004-c00,mixed,,p6,pe049,41,female,ENFP,villager,villager,1,4,0,101,101.0,unknown,2,p3,4,p3,p8,false,,2,,1,0,0,0,0,1,0,,
e-20260830-010451,e-20260830-010451-t004,e-20260830-010451-t004-c00,mixed,,p7,pe054,17,male,ESFP,thief,thief,3,1,0,313,104.3333,unknown,2,p3,4,p3,p8,false,,2,,1,0,0,0,0,1,0,,
e-20260830-010451,e-20260830-010451-t004,e-20260830-010451-t004-c00,mixed,,p8,pe021,45,female,ESFP,villager,villager,2,2,0,212,106.0,unknown,2,p3,4,p3,p1,false,,2,,1,0,0,1,0,1,0,,
e-20260830-010451,e-20260830-010451-t004,e-20260830-010451-t004-c01,homogeneous,ISTJ,p1,pe056,49,male,ISTJ,villager,villager,1,2,0,64,64.0,unknown,1,p2,4,p2,p2,false,,3,,0,0,1,1,0,1,1,,
e-20260830-010451,e-20260830-010451-t004,e-20260830-010451-t004-c01,homogeneous,ISTJ,p2,pe062,20,male,ISTJ,villager,villager,2,0,0,145,72.5,unknown,1,p1,4,p1,p1,false,,3,,0,0,1,0,0,1,1,,
e-20260830-010451,e-20260830-010451-t004,e-20260830-010451-t004-c01,homogeneous,ISTJ,p3,pe085,64,female,ISTJ,werewolf,werewolf,2,0,0,188,94.0,unknown,2,,,,p1,false,,,,,0,,0,1,0,,,
e-20260830-010451,e-20260830-010451-t004,e-20260830-010451-t004-c01,homogeneous,ISTJ,p4,pe046,64,female,ISTJ,werewolf,werewolf,2,0,0,161,80.5,unknown,2,,,,p1,false,,,,,0,,0,1,0,,,
e-20260830-010451,e-20260830-010451-t004,e-20260830-010451-t004-c01,homogeneous,ISTJ,p5,pe039,27,male,ISTJ,seer,seer,2,0,0,141,70.5,unknown,2,,,,p1,false,,,,,0,,0,0,0,,,
e-20260830-010451,e-20260830-010451-t004,e-20260830-010451-t004-c01,homogeneous,ISTJ,p6,pe049,41,female,ISTJ,villager,villager,1,2,0,83,83.0,unknown,1,p1,4,p1,p1,false,,3,,0,0,1,0,0,1,1,,
e-20260830-010451,e-20260830-010451-t004,e-20260830-010451-t004-c01,homogeneous,ISTJ,p7,pe054,17,male,ISTJ,thief,thief,2,0,0,167,83.5,unknown,2,p1,4,p1,p1,false,,2,,0,0,1,0,0,1,1,,
e-20260830-010451,e-20260830-010451-t004,e-20260830-010451-t004-c01,homogeneous,ISTJ,p8,pe021,45,female,ISTJ,villager,villager,1,2,0,110,110.0,unknown,1,p1,4,p1,p1,false,,3,,0,0,1,0,0,1,1,,
e-20260830-010451,e-20260830-010451-t004,e-20260830-010451-t004-c02,homogeneous,ISFJ,p1,pe056,49,male,ISFJ,villager,villager,3,2,0,356,118.6667,unknown,1,,,,p2,false,,,,,0,,0,0,0,,,
