experiment_id,trial_id,case_id,speech_id,order,round,player_id,mbti,initial_role,final_role,chars,labels,mentions,stance_target,stance_direction,stance_strength,judge_criteria_version
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c00,e-20260830-010837-t001-c00-s001,1,1,p1,ISTJ,thief,thief,57,question,,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c00,e-20260830-010837-t001-c00-s002,2,1,p8,ESTP,werewolf,werewolf,45,question,p7,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c00,e-20260830-010837-t001-c00-s003,3,1,p7,ENFJ,werewolf,werewolf,92,claim,p8,p8,defend,1,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c00,e-20260830-010837-t001-c00-s004,4,1,p5,ESTP,seer,seer,56,claim,p2,p2,suspect,1,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c00,e-20260830-010837-t001-c00-s005,5,2,p7,ENFJ,werewolf,werewolf,71,question,p8,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c00,e-20260830-010837-t001-c00-s006,6,2,p8,ESTP,werewolf,werewolf,78,question,p7,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c00,e-20260830-010837-t001-c00-s007,7,2,p2,ENFP,villager,villager,63,question|claim,p5,p5,suspect,1,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c00,e-20260830-010837-t001-c00-s008,8,2,p5,ESTP,seer,seer,83,claim|intent,p2,p2,suspect,1,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c00,e-20260830-010837-t001-c00-s009,9,3,p2,ENFP,villager,villager,115,claim|suspect|intent,p5,p5,suspect,1,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c00,e-20260830-010837-t001-c00-s010,10,3,p3,ESFJ,villager,villager,120,claim|question,p1|p2|p5,,,,v1
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c00,e-20260830-010837-t001-c00-s011,11,3,p1,ISTJ,thief,thief,103,question,p7|p8,,,,v1
