experiment_id,trial_id,case_id,case_index,composition,homogeneous_type,status,valid,invalid_reason,rule_set_version,persona_prompt_version,judge_criteria_version,indicator_version,brain_provider,brain_model,rounds,stop_reason,total_speeches,total_passes,total_skips,total_chars,valid_vote_count,abstain_count,top_vote_count,executed,executed_count,executed_final_roles,no_execution_reason,winner,village_correct,vote_concentration,final_entropy,convergence_round,correction_rate,deterioration_rate,mean_confidence_delta,plan_vote_mismatch_rate,elapsed_seconds,ai_wait_seconds,inference_calls,machine_name,village_vote_accuracy,pass_rate,speech_count_gini,decided_from_unknown_count
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c00,0,mixed,,done,true,,0.7,v2,v1,v1,ollama,gemma3:4b,6,all_pass,15,26,0,1318,8,0,4,p2|p8,2,villager|werewolf,,village,1,0.5,0.333333,,,,2.2857,0.4286,785.751,785.703,84,,0.6667,0.6341,0.3583,7
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c01,1,homogeneous,ISTJ,done,true,,0.7,v2,v1,v1,ollama,gemma3:4b,3,all_pass,2,21,0,110,8,0,6,p1,1,thief,,werewolf,0,0.75,0.0,,,,1.4,0.0,229.95,229.921,64,,0.1667,0.913,0.875,5
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c02,2,homogeneous,ISFJ,done,true,,0.7,v2,v1,v1,ollama,gemma3:4b,3,all_pass,13,5,0,1234,8,0,6,p8,1,werewolf,,village,1,0.75,0.0,1,,,2.375,0.25,128.636,128.599,48,,1.0,0.2778,0.1827,8
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c03,3,homogeneous,INFJ,done,true,,0.7,v2,v1,v1,ollama,gemma3:4b,6,all_pass,15,26,1,1454,8,0,4,p1,1,thief,,werewolf,0,0.5,0.0,,,,2.1667,0.6667,437.822,437.775,86,,0.3333,0.6341,0.4083,6
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c04,4,homogeneous,INTJ,done,true,,0.7,v2,v1,v1,ollama,gemma3:4b,6,max_rounds,14,27,1,1467,8,0,4,p8,1,werewolf,,village,1,0.5,0.0,,,,2.25,0.5,522.461,522.416,81,,0.6667,0.6585,0.5536,8
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c05,5,homogeneous,ISTP,done,true,,0.7,v2,v1,v1,ollama,gemma3:4b,6,max_rounds,17,24,0,1327,8,0,4,p1|p2,2,thief|villager,,werewolf,0,0.5,0.306099,5,,,1.8571,0.1429,289.647,289.602,75,,0.0,0.5854,0.4044,7
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c06,6,homogeneous,ISFP,done,true,,0.7,v2,v1,v1,ollama,gemma3:4b,3,all_pass,10,10,0,753,8,0,5,p8,1,werewolf,,village,1,0.625,0.333333,,,,2.6667,0.3333,195.457,195.428,62,,1.0,0.5,0.35,3
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c07,7,homogeneous,INFP,done,true,,0.7,v2,v1,v1,ollama,gemma3:4b,3,all_pass,15,2,0,1361,8,0,6,p3,1,villager,,werewolf,0,0.75,0.0,,,,1.8333,0.5,225.574,225.539,56,,0.0,0.1176,0.0583,6
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c08,8,homogeneous,INTP,done,true,,0.7,v2,v1,v1,ollama,gemma3:4b,3,all_pass,10,10,0,689,8,0,5,p1,1,thief,,werewolf,0,0.625,0.0,1,,,1.25,0.5,133.913,133.882,58,,0.0,0.5,0.35,4
e-20260830-010837,e-20260830-010837-t001,e-20260830-010837-t001-c09,9,homogeneous,ESTP,done,true,,0.7,v2,v1,v1,ollama,gemma3:4b,3,all_pass,15,2,0,1167,8,0,5,p8,1,werewolf,,village,1,0.625,0.0,2,,,2.25,0.25,186.503,186.468,61,,0.8333,0.1176,0.0583,4
